fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,target
8.1,0.29,0.36,2.2,0.048,35.0,53.0,0.995,3.27,1.01,12.4,1
6.6,0.96,0.0,1.8,0.0819999999999999,5.0,16.0,0.9936,3.5,0.44,11.9,0
6.4,0.47,0.4,2.4,0.071,8.0,19.0,0.9963,3.56,0.73,10.6,0
9.9,0.57,0.25,2.0,0.104,12.0,89.0,0.9963,3.04,0.9,10.1,0
10.0,0.32,0.59,2.2,0.077,3.0,15.0,0.9994,3.2,0.78,9.6,0
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,0
7.3,0.34,0.33,2.5,0.064,21.0,37.0,0.9952,3.35,0.77,12.1,1
7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,0
7.7,0.64,0.21,2.2,0.077,32.0,133.0,0.9956,3.27,0.45,9.9,0
7.5,0.4,0.18,1.6,0.079,24.0,58.0,0.9965,3.34,0.58,9.4,0
7.0,0.54,0.0,2.1,0.079,39.0,55.0,0.9956,3.39,0.84,11.4,0
6.4,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,3.5,0.67,11.0,0
8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,0
7.7,0.23,0.37,1.8,0.046,23.0,60.0,0.9971,3.41,0.71,12.1,0
7.6,0.41,0.33,2.5,0.078,6.0,23.0,0.9957,3.3,0.58,11.2,0
7.8,0.64,0.0,1.9,0.072,27.0,55.0,0.9962,3.31,0.63,11.0,0
7.9,0.18,0.4,2.2,0.049,38.0,67.0,0.996,3.33,0.93,11.3,0
7.4,0.41,0.24,1.8,0.066,18.0,47.0,0.9956,3.37,0.62,10.4,0
7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,0
5.9,0.44,0.0,1.6,0.042,3.0,11.0,0.9944,3.48,0.85,11.7,0
6.1,0.4,0.16,1.8,0.069,11.0,25.0,0.9955,3.42,0.74,10.1,1
10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,0
10.0,0.38,0.38,1.6,0.168999999999999,27.0,90.0,0.999139999999999,3.15,0.65,8.5,0
6.8,0.915,0.29,4.8,0.07,15.0,39.0,0.99577,3.53,0.54,11.1,0
7.0,0.59,0.0,1.7,0.052,3.0,8.0,0.996,3.41,0.47,10.3,0
7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.0666666666666,0
7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,3.23,0.73,11.3,1
7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52,9.56666666666667,0
6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,3.4,0.75,9.8,0
6.9,0.58,0.2,1.75,0.0579999999999999,8.0,22.0,0.99322,3.38,0.49,11.7,0
7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.1,0
7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52,9.6,0
6.8,0.67,0.0,1.9,0.08,22.0,39.0,0.99701,3.4,0.74,9.7,0
6.9,0.58,0.01,1.9,0.08,40.0,54.0,0.996829999999999,3.4,0.73,9.7,0
7.2,0.38,0.31,2.0,0.0559999999999999,15.0,29.0,0.99472,3.23,0.76,11.3,1
7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,3.33,0.78,11.0,1
6.6,0.58,0.02,2.0,0.062,37.0,53.0,0.99374,3.35,0.76,11.6,1
7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0,0
11.7,0.45,0.63,2.2,0.073,7.0,23.0,0.99974,3.21,0.69,10.9,0
6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,0
6.0,0.54,0.06,1.8,0.05,38.0,89.0,0.99236,3.3,0.5,10.55,0
8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,0
7.9,0.2,0.35,1.7,0.054,7.0,15.0,0.994579999999999,3.32,0.8,11.9,1
6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4,0
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,0
6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,3.36,0.58,10.4,0
6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53,10.8,0
6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,0
7.3,0.48,0.32,2.1,0.062,31.0,54.0,0.997279999999999,3.3,0.65,10.0,1
6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.996479999999999,3.52,0.57,11.0,0
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,0
10.0,0.69,0.11,1.4,0.084,8.0,24.0,0.995779999999999,2.88,0.47,9.7,0
6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6,0
7.6,0.35,0.6,2.6,0.073,23.0,44.0,0.99656,3.38,0.79,11.1,0
6.1,0.6,0.08,1.8,0.071,14.0,45.0,0.99336,3.38,0.54,11.0,0
9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,0
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.5666666666666,1
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.6,1
7.1,0.875,0.05,5.7,0.0819999999999999,3.0,14.0,0.99808,3.4,0.52,10.2,0
8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,0
5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62,10.1,0
7.2,0.58,0.54,2.1,0.114,3.0,9.0,0.997189999999999,3.33,0.57,10.3,0
8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.99542,3.35,0.61,10.7,0
6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,0
7.0,0.655,0.16,2.1,0.074,8.0,25.0,0.99606,3.37,0.55,9.7,0
6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,0.6,10.3,0
6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,0
5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,0
6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.994479999999999,3.44,0.76,10.8,0
7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.99344,3.39,0.56,12.4,0
6.2,0.65,0.06,1.6,0.05,6.0,18.0,0.993479999999999,3.57,0.54,11.95,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,0
6.4,0.31,0.09,1.4,0.066,15.0,28.0,0.99459,3.42,0.7,10.0,1
7.0,0.43,0.02,1.9,0.08,15.0,28.0,0.99492,3.35,0.81,10.6,0
6.9,0.74,0.03,2.3,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,0
6.6,0.895,0.04,2.3,0.068,7.0,13.0,0.99582,3.53,0.58,10.8,0
7.5,0.725,0.04,1.5,0.076,8.0,15.0,0.99508,3.26,0.53,9.6,0
7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.99642,3.16,0.53,9.4,0
7.3,0.585,0.18,2.4,0.078,15.0,60.0,0.996379999999999,3.31,0.54,9.8,0
6.2,0.44,0.39,2.5,0.077,6.0,14.0,0.99555,3.51,0.69,11.0,0
7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,0
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,0
6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,0
7.1,0.27,0.6,2.1,0.074,17.0,25.0,0.998139999999999,3.38,0.72,10.6,0
7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1,0
6.4,0.36,0.21,2.2,0.047,26.0,48.0,0.99661,3.47,0.77,9.7,0
7.1,0.69,0.04,2.1,0.068,19.0,27.0,0.99712,3.44,0.67,9.8,0
6.4,0.79,0.04,2.2,0.061,11.0,17.0,0.995879999999999,3.53,0.65,10.4,0
6.4,0.56,0.15,1.8,0.078,17.0,65.0,0.992939999999999,3.33,0.6,10.5,0
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.23333333333333,0
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25,0
6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.996329999999999,3.42,0.97,10.6,0
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.994889999999999,3.38,0.83,10.3,0
7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5,0
6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,3.44,0.58,10.2,0
6.9,0.48,0.2,1.9,0.0819999999999999,9.0,23.0,0.99585,3.39,0.43,9.05,0
6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,0
6.0,0.42,0.19,2.0,0.075,22.0,47.0,0.99522,3.39,0.78,10.0,0
6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64,9.7,0
6.8,0.47,0.08,2.2,0.064,18.0,38.0,0.995529999999999,3.3,0.65,9.6,0
7.1,0.53,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.66,10.8,0
7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.997139999999999,3.31,0.67,10.1,0
7.1,0.69,0.08,2.1,0.063,42.0,52.0,0.99608,3.42,0.6,10.2,0
6.6,0.44,0.09,2.2,0.063,9.0,18.0,0.99444,3.42,0.69,11.3,0
6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66,10.2,0
7.2,0.53,0.13,2.0,0.0579999999999999,18.0,22.0,0.995729999999999,3.21,0.68,9.9,0
8.0,0.39,0.3,1.9,0.074,32.0,84.0,0.99717,3.39,0.61,9.0,0
6.6,0.56,0.14,2.4,0.064,13.0,29.0,0.99397,3.42,0.62,11.7,1
7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,0
6.1,0.53,0.08,1.9,0.077,24.0,45.0,0.995279999999999,3.6,0.68,10.3,0
5.4,0.58,0.08,1.9,0.059,20.0,31.0,0.99484,3.5,0.64,10.2,0
6.2,0.64,0.09,2.5,0.081,15.0,26.0,0.995379999999999,3.57,0.63,12.0,0
7.2,0.39,0.32,1.8,0.065,34.0,60.0,0.997139999999999,3.46,0.78,9.9,0
6.2,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,3.56,0.63,11.6,0
7.4,0.25,0.29,2.2,0.054,19.0,49.0,0.99666,3.4,0.76,10.9,1
6.7,0.855,0.02,1.9,0.064,29.0,38.0,0.99472,3.3,0.56,10.75,0
11.1,0.44,0.42,2.2,0.064,14.0,19.0,0.997579999999999,3.25,0.57,10.4,0
8.4,0.37,0.43,2.3,0.063,12.0,19.0,0.9955,3.17,0.81,11.2,1
6.5,0.63,0.33,1.8,0.059,16.0,28.0,0.99531,3.36,0.64,10.1,0
7.0,0.57,0.02,2.0,0.072,17.0,26.0,0.99575,3.36,0.61,10.2,0
6.3,0.6,0.1,1.6,0.048,12.0,26.0,0.99306,3.55,0.51,12.1,0
11.2,0.4,0.5,2.0,0.099,19.0,50.0,0.997829999999999,3.1,0.58,10.4,0
7.4,0.36,0.3,1.8,0.074,17.0,24.0,0.99419,3.24,0.7,11.4,1
7.1,0.68,0.0,2.3,0.087,17.0,26.0,0.997829999999999,3.45,0.53,9.5,0
7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.997679999999999,3.44,0.54,9.4,0
6.3,0.68,0.01,3.7,0.103,32.0,54.0,0.99586,3.51,0.66,11.3,0
7.3,0.735,0.0,2.2,0.08,18.0,28.0,0.99765,3.41,0.6,9.4,0
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,0
7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.995139999999999,3.44,0.68,10.55,1
6.6,0.88,0.04,2.2,0.066,12.0,20.0,0.99636,3.53,0.56,9.9,0
6.9,0.63,0.33,6.7,0.235,66.0,115.0,0.99787,3.22,0.56,9.5,0
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,0
6.7,0.67,0.02,1.9,0.061,26.0,42.0,0.994889999999999,3.39,0.82,10.9,0
6.7,0.16,0.64,2.1,0.059,24.0,52.0,0.994939999999999,3.34,0.71,11.2,0
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,0
6.2,0.51,0.14,1.9,0.0559999999999999,15.0,34.0,0.99396,3.48,0.57,11.5,0
6.4,0.36,0.53,2.2,0.23,19.0,35.0,0.9934,3.37,0.93,12.4,0
6.4,0.38,0.14,2.2,0.038,15.0,25.0,0.995139999999999,3.44,0.65,11.1,0
7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,0
6.0,0.58,0.2,2.4,0.075,15.0,50.0,0.99467,3.58,0.67,12.5,0
5.6,0.31,0.78,13.9,0.074,23.0,92.0,0.99677,3.39,0.48,10.5,0
7.5,0.52,0.4,2.2,0.06,12.0,20.0,0.99474,3.26,0.64,11.8,0
8.0,0.3,0.63,1.6,0.081,16.0,29.0,0.995879999999999,3.3,0.78,10.8,0
6.2,0.7,0.15,5.1,0.076,13.0,27.0,0.99622,3.54,0.6,11.9,0
6.8,0.67,0.15,1.8,0.118,13.0,20.0,0.9954,3.42,0.67,11.3,0
6.2,0.56,0.09,1.7,0.053,24.0,32.0,0.99402,3.54,0.6,11.3,0
7.4,0.35,0.33,2.4,0.068,9.0,26.0,0.9947,3.36,0.6,11.9,0
6.1,0.715,0.1,2.6,0.053,13.0,27.0,0.99362,3.57,0.5,11.9,0
6.2,0.46,0.29,2.1,0.074,32.0,98.0,0.995779999999999,3.33,0.62,9.8,0
6.7,0.32,0.44,2.4,0.061,24.0,34.0,0.99484,3.29,0.8,11.6,1
7.2,0.39,0.44,2.6,0.066,22.0,48.0,0.994939999999999,3.3,0.84,11.5,0
7.5,0.31,0.41,2.4,0.065,34.0,60.0,0.99492,3.34,0.85,11.4,0
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.994829999999999,3.55,0.66,10.9,0
7.2,0.66,0.33,2.5,0.068,34.0,102.0,0.994139999999999,3.27,0.78,12.8,0
6.6,0.725,0.2,7.8,0.073,29.0,79.0,0.9977,3.29,0.54,9.2,0
6.3,0.55,0.15,1.8,0.077,26.0,35.0,0.993139999999999,3.32,0.82,11.6,0
5.4,0.74,0.09,1.7,0.089,16.0,26.0,0.99402,3.67,0.56,11.6,0
6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,0
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82,9.5,0
6.2,0.6,0.08,2.0,0.09,32.0,44.0,0.9949,3.45,0.58,10.5,0
5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.99512,3.52,0.76,11.2,0
5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.99547,3.57,0.71,10.2,0
6.0,0.31,0.47,3.6,0.067,18.0,42.0,0.99549,3.39,0.66,11.0,0
10.148039351840264,0.38480393518402656,0.5051241975296283,2.440032793200221,0.10454444598752301,6.0,13.032026234560178,0.9964738759413465,3.21455554012477,0.652882361110416,11.596797376543982,1
9.355795888317177,0.40251469898608,0.4661885756355953,4.546955065980612,0.09461885756355944,3.0,10.0,0.9963431436416162,3.2646955065980614,0.6355795888317177,12.191159177663435,1
7.787726759204449,0.3503728265538064,0.2892180654196752,2.1583635678939266,0.05091455024742514,35.41636432106073,53.0,0.9947376904777318,3.2866545728424295,0.9579544598674082,12.233454271575706,1
12.533057333721073,0.41389073839890356,0.6556070564579782,1.9740617440073094,0.077510485131486,23.0,42.410044102862365,0.9982460264617175,2.9692052923434837,0.68,10.869039692576127,1
7.9,0.5059862098944574,0.22602068515831383,3.0280505637203228,0.078,16.03990806596305,37.51995403298152,0.9967800459670184,3.344800459670185,0.797605516042217,12.228050563720323,1
7.689732110667463,0.35420535778665074,0.409535706560191,2.843035598402865,0.07673839266400477,16.261607335995226,37.42053577866508,0.9956178568853397,3.3626160733599524,0.8684107155733015,13.13642862293206,1
8.303272576593946,0.3729199041633414,0.36416019167331715,1.8430663472111382,0.06689061555378209,21.43066347211138,55.0,0.9948983203833466,3.3091990416334145,0.7812402875099757,11.279931256872398,1
9.098403392435605,0.3857341150354091,0.3582020206620151,2.34755294988197,0.085,13.278722713948484,33.72127728605152,0.9986221798673767,3.367212772860515,0.7350850442553637,10.139361356974243,1
11.356647402813895,0.48245402007674254,0.5549080401534852,2.335785595907063,0.07397477666240318,23.389910664961278,42.0,0.9974736206023023,2.982385706393804,0.6975459799232575,10.90940619820934,1
7.322520846941301,0.6524328094382073,0.09225208469413011,2.429054682397012,0.07922520846941301,16.096848941323373,33.09684894132337,0.9971798609691386,3.58,0.7093697882646747,10.945273411985061,1
10.717263712097292,0.35592835454832494,0.45555373408875627,2.6617263712097294,0.09323452742419458,14.851791136291876,48.91368143951354,0.9985004885651453,3.158273628790271,0.874560210596971,10.370358227258375,1
10.498046272509237,0.2613676092435335,0.47312596398521956,1.9175835474168599,0.07811722364944573,5.980462725092378,23.960925450184757,0.9976429820047968,3.18156298199261,1.0341388175277135,10.905861182472288,1
11.756764860183246,0.4452720935412303,0.5595956075229057,1.4608087849541884,0.08637793268992147,22.391912150458115,41.39191215045811,0.9976047428977978,2.9808087849541884,0.7286470279633508,10.135147290274869,1
9.281677839188859,0.3045342271351087,0.39903757889176633,2.1045033517566574,0.06699691246215489,13.0,26.273288643244566,0.9951345651025132,3.2963355678377715,0.8109315457297825,11.954348974864402,1
7.755481560854222,0.47528177516062353,0.3582069470455091,4.887039021355564,0.22317980712423915,5.0,10.554815608542226,0.9978657787302506,3.316577873025067,0.863621912668532,10.010963121708444,1
6.590797490738404,0.2991104391207794,0.25724947723716746,2.345398745369202,0.01491206691364257,35.271983271589356,98.81697281633271,0.9906545603345682,3.281840501852319,0.42913089915207203,11.909304809418058,1
8.056647121639452,0.3621772166134064,0.3173602967349772,2.473602967349772,0.06193448605314338,19.547205934699544,51.73602967349772,0.9972728706468634,3.391791910979507,0.7463198516325114,11.064161780409863,1
7.737957045519289,0.37598520168916877,0.3418978522759645,2.1547446306899114,0.05433575170341244,33.189785227596445,53.45255369310089,0.9960318224202696,3.2835766107930264,0.8470806704836802,11.313871136557868,1
7.358907463100675,0.29098179105167793,0.4996358210335583,5.639628360244984,0.032865402998188034,36.82363432887584,197.73794035993342,0.9920237056725114,3.122727611854026,0.4558907463100675,12.029453731550337,1
11.991047127840327,0.2934293082395091,0.5052198826714436,2.0074344659160723,0.07713350525588544,10.0,21.179057443193454,0.9978148689318321,2.9952198826714436,0.6770104571033781,9.944764360798365,1
7.095509480836734,0.3536327012775511,0.4893059510131518,6.303671674668932,0.0511918378061678,31.987750146473918,226.75097433478453,0.9930229386522907,3.1679185093172335,0.5427755396696146,12.270204054845806,1
10.357080682804503,0.4051925007233025,0.5685403414022516,2.4952795447969978,0.08413290924872054,5.523602276015011,14.047204552030022,0.9974429193171955,3.0709440910406003,0.6981118179187991,11.180682958819515,1
7.658113497194771,0.43675460112209175,0.2511510737376468,2.0511790642532683,0.06106934432941502,5.302358128506537,10.302358128506537,0.9938846182902084,3.294188650280523,0.5762829754207844,11.653537192759805,1
5.1,0.4535821570138102,0.0,1.7796471775673877,0.044,17.18588710269551,87.59294355134776,0.9917877752000289,3.6555766130808656,0.7727409271084857,13.457530242971714,1
8.575608084767705,0.28,0.4662195957616148,1.916261276821531,0.08105698299339952,6.459346807946172,12.0,0.9938319527237091,3.255406531920538,0.587845723443768,12.354065319205382,1
8.547372575494387,0.28473725754943874,0.3578954292490645,1.8736994434794192,0.06857961207910193,6.15790858498129,15.157908584981291,0.995382117726483,3.301579085849813,0.7478954292490645,11.8,1
10.799593063710017,0.307689177413154,0.49764848378415566,2.084458870657699,0.0604621645173692,3.0,9.768917741315397,0.9955074043220102,3.0477298710421525,0.7699186127420032,11.038649355210762,1
7.566882011074067,0.7253957832114795,0.018675280442962683,2.4735056088592535,0.07232471955703731,9.933764022148134,14.0,0.9953468820110731,3.504038761993332,0.6994022435437014,11.686752804429625,1
12.485346833988418,0.31,0.7030313314302857,2.1724832401572205,0.0721375837992139,6.137583799213899,28.954138733595368,0.9986091946925189,2.896510055905668,0.8204586126640463,9.864205772966487,1
11.1828862528643,0.5224161136884419,0.6524161136884419,3.176007105527614,0.11569127958190928,6.0,14.379194315577909,0.997610402842211,3.0651677726231163,0.7096644547537673,11.613758294673373,1
12.312672067402874,0.3630517318354917,0.6661983797791382,4.755861453160663,0.066,6.305173183549171,36.95775977532376,1.0007474134082255,3.213051731835492,0.6208448044935249,12.652586591774586,1
9.45360844624504,0.344639155375496,0.5179086920892149,2.283652316431406,0.06939912259627268,13.0,25.41826158215703,0.9950711782288022,3.3516347683568593,0.789278310750992,12.609130791078515,1
9.11017503276413,0.24190151900319584,0.46261050196584785,2.9769801834791325,0.07373894980341521,10.0,20.57964993447174,0.9962682231166403,3.3805754954130216,0.7726105019658479,12.026105019658479,1
7.465843678954346,0.5592797692025027,0.1395062073726073,2.0707816052282726,0.08329218394771729,13.36625284182618,34.31687357908691,0.9969912753978557,3.448312642091309,0.6439094247319581,9.94403217359351,1
10.446273658328593,0.2976084391699849,0.5559621466742513,2.3835370750426628,0.08122358050028443,5.46273658328593,22.92547316657186,0.998781979516771,3.2229810733371256,0.8788209749857789,11.061179025014221,1
5.192023831796714,0.4915952336406571,0.14779165887114995,2.1460119158983573,0.04476071495390144,16.0,95.47857009219713,0.9921331308877895,3.496809532718686,0.8746011915898357,13.206746105989017,1
7.8584766105949155,0.4486485433088139,0.3815233894050846,2.583046778810169,0.08762654903342369,8.0,17.0,0.9944137124534327,3.25398040622661,0.7449140336430508,12.228008822493223,1
7.080210342237197,0.3239729559980747,0.32800600977820565,2.0001502444551407,0.06019489168852522,4.0,8.0,0.9937206911244937,3.376012019556411,0.5860270440019254,12.079459119961495,1
8.68373188208491,0.3325597823127364,0.34,2.439533514739386,0.07934898095236442,14.18600544218159,46.395335147393865,0.9967562975510176,3.351626811791509,0.7255801632654477,10.81626811791509,1
14.027636729313787,0.22980739995842284,0.445402018170479,2.0559461821205613,0.0715787218253633,9.819932727650702,24.0,0.9994917914557173,3.0970100908523945,0.836398654553014,9.398073999584227,1
7.235801759472494,0.3889096187809594,0.2732303225699574,2.4393002932454158,0.09353294428337093,25.69650146622708,35.303498533772924,0.9940547026100499,3.2958746334432303,0.6264198240527505,12.135801759472495,1
9.629504907078225,0.2558833878564247,0.4576677571284944,1.9411661214357527,0.07806006542770966,43.23498364307258,71.1183714994973,0.995819082661657,3.1693641586044627,0.7246820793022315,11.141342057027956,1
8.82459056291265,0.3437158802427208,0.41131141556310247,3.6251364790291167,0.10748635209708834,11.874317604854417,24.0,0.9954259019784757,3.2350272958058235,0.692459056291265,12.012568239514557,1
9.666759660350632,0.39789485042420003,0.5233519320701264,2.4637124493777898,0.07006094421945684,10.0,25.03047210972842,0.9960389206061367,3.2133240339649367,0.8139334761595053,12.112188843891369,1
8.891933104781032,0.28376455110218546,0.4483866209562063,1.7026889650729895,0.06702688965072989,6.9731103492701045,12.0,0.9935835612341825,3.2526889650729895,0.5537645511021855,12.283866209562063,1
9.958258144013136,0.2881548316432768,0.47,1.6786452231213278,0.05998064604459034,7.805806186622881,24.0,0.9972883549137902,3.1921354776878674,0.8518451683567232,10.578645223121327,1
9.132845280228103,0.32566943461344244,0.3689539626362528,2.2,0.07653766027503048,11.22384906590632,30.32845280228104,0.9958612347049808,3.316569056045621,0.8353766027503047,12.134309439543792,1
8.114865018951118,0.2696030299471106,0.37752534457911147,1.96435812736889,0.04563344344204424,4.0,9.643581273688898,0.993671098075055,3.2860388426839995,0.6814865018951118,12.553462808946666,1
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.57816942092737,1
9.134761921448268,0.3382381135930952,0.39561907431722937,2.173809607241342,0.06087142706965585,12.0,25.0,0.9951739047685794,3.2878095371586147,0.8226190392758658,12.256190743172294,1
10.725443745188132,0.3560428894821814,0.5357248426673298,2.657248426673297,0.07171745280019892,5.031804681485165,15.968195318514836,0.9972381656177822,3.1455473445920767,0.6557248426673298,11.025443745188133,1
7.661027752634073,0.39425590874940764,0.33805138763170367,2.145128469079259,0.05568201432890372,32.80513876317036,53.54871530920741,0.9962510709049923,3.286461459276222,0.8124624886853329,11.083083257902219,1
7.825903547387234,0.37413082044790275,0.34655764962674773,2.2,0.06013769401493004,6.0,11.068847007465045,0.9951408863634696,3.379475055485228,0.701376940149301,11.360327051119757,1
11.9355991484272,0.37660127735920207,0.5994814476737623,2.6728102188736167,0.09654029805048048,10.0,22.28801703145603,0.9991456204377472,3.089481447673762,0.7823616179883226,10.222004257864008,1
9.48462618968326,0.28798306530769263,0.5183638989185518,2.35768690515837,0.07368265178868777,6.105782737104074,18.21156547420815,0.9961428773219638,3.193653035773756,1.0940338693846146,11.904795536606333,1
7.1416232381296085,0.5716753523740783,0.14059974372794304,2.187125160170036,0.08081127722890606,13.0,28.257496796599288,0.99662574967966,3.482662964493103,0.6341623238129608,10.135625800850177,1
10.80291043802086,0.3199029853993047,0.5134950243344922,2.1669900486689846,0.057359203893518756,3.660199026620311,9.669900486689844,0.9953436865548261,3.079417912395828,0.7837860681365783,11.296119415972187,1
8.303956911700073,0.45246761941719393,0.25969065705080896,2.12510793527602,0.085,12.643165529360058,34.35683447063994,0.9977165108793381,3.373568344706399,0.6778848976424052,9.821582764680029,1
6.109229058622875,0.3990770941377126,0.18491845828176146,1.8184581172457492,0.0691845811724575,11.276871758686239,24.907709413771254,0.9953874054848009,3.4227687175868624,0.751997776209737,10.20151964485162,1
11.27828190891556,0.4044343618216888,0.66,2.9759427302971853,0.10406634406329426,12.0,29.518854605943705,0.9983490219754536,3.208868723643378,0.6877374472867552,11.233030854650664,1
10.136190301358017,0.37253416605152995,0.5161531961873318,5.138468038126682,0.0798732916974235,24.375569434192165,42.312215282903914,0.9963303104335829,3.1775569434192166,0.7419006245386475,12.2253416605153,1
7.753497104064178,0.46126349775221526,0.18884681447059617,2.090674389162191,0.06230183076969656,8.465028959358216,14.51165701354726,0.9949706743891612,3.41278516742602,0.7560491312192535,11.802331402709452,1
10.194186609629716,0.3668604463456761,0.36982575971607684,2.4313955365432385,0.0826453347592571,5.0,16.843022317283808,0.9968880817426041,3.166860446345676,0.65,10.662791073086478,1
8.416843333959937,0.6905148506809669,0.2520500878347254,1.898171227806342,0.11017612102393964,7.754571930484145,23.377285965242073,0.9966075072808831,3.300952824518531,0.7141386140911523,10.237728596524207,1
8.5,0.2797404975616354,0.5598702487808177,1.7998702487808178,0.09194550448794342,35.02595024383646,102.9610746342453,0.9968956922595231,3.300077850731509,0.7500259502438364,10.50337353169874,1
10.526339778592883,0.4889281771256939,0.6255131217739146,2.4263397785928826,0.10212714096031672,5.868301107035586,15.131698892964414,0.9972868301107035,3.0979019335778646,0.6586830110703559,11.69464088562847,1
